device_id,device_type,ip_address,mac_address,protocol,src_port,dst_port,packet_size,session_duration,failed_login_attempts,dns_requests,outbound_connections,lateral_movement_flag,traffic_volume,port_scan_flag,malware_comm_flag,brute_force_flag,time_of_day,peak_hour,anomaly_score,threat_type,action_taken
c7e3d446-394e-4ba1-ad13-d12a4fec2564,Server,192.168.115.241,28:1b:48:f7:bd:3a,UDP,24395,1018,531,270.9,12,23,5,0,680.19,1,1,0,Evening,0,0.709,DNS Tunneling,Block
a984164a-2f88-44fd-b41a-2772412531df,Mobile,192.168.156.107,a4:34:81:fc:f7:60,TCP,64061,6695,798,268.21,5,58,2,1,108.45,1,0,1,Night,1,0.172,Data Exfiltration,Allow
d544984e-7290-4666-9de1-74d614683f7c,IoT,192.168.185.18,97:3d:b7:70:7e:c2,ICMP,54481,2914,1468,164.44,3,11,4,1,506.81,0,1,1,Night,0,0.532,Port Scan,Allow
9c241943-20ed-4bb1-8b5f-fdeba3b75b44,Mobile,192.168.241.28,99:e0:35:a7:cd:3e,ICMP,34010,4256,1033,97.4,10,8,11,0,36.99,1,0,0,Afternoon,1,0.919,Port Scan,Block
daeb7ef5-6113-407a-8914-f12aec406246,Mobile,192.168.36.214,53:20:9f:bf:38:05,ICMP,34888,1123,188,272.29,0,34,5,0,239.57,0,1,0,Night,1,0.417,Data Exfiltration,Block
981a044f-d555-4193-a236-c973a0825ce4,Mobile,192.168.54.246,38:8f:80:5d:61:f2,TCP,58111,497,423,76.41,8,7,15,1,110.76,1,1,1,Night,1,0.986,Port Scan,Allow
b3f5158b-e314-4b5f-928b-e4e76edf1c6a,Laptop,192.168.193.207,02:be:83:58:35:48,ICMP,43736,231,951,255.14,2,47,14,1,344.9,0,0,0,Afternoon,0,0.997,Lateral Movement,Allow
55c12bd1-f465-446a-ab44-528a1ca47035,Server,192.168.75.217,cc:10:84:63:da:c2,UDP,37662,6699,737,232.94,0,48,12,0,479.87,0,1,0,Afternoon,1,0.965,Data Exfiltration,Block
77974613-d3b4-4a29-a2ce-bdc571ad7513,Laptop,192.168.205.118,7d:9b:ce:ee:25:4b,ICMP,17267,752,916,180.57,11,9,25,1,252.32,1,1,1,Afternoon,1,0.475,Malware,Throttle
31fb551d-09f3-4891-8632-5f830628aa54,Server,192.168.155.62,41:a4:54:41:2c:4c,UDP,2784,4061,1019,173.7,0,43,12,0,228.4,1,1,0,Afternoon,1,0.618,Malware,Block
6f266212-0809-4922-98fa-98f998a4a865,Laptop,192.168.181.78,95:37:6c:74:56:62,TCP,63828,4372,921,183.29,0,54,13,1,344.84,0,0,0,Afternoon,0,0.076,Port Scan,Throttle
99759828-e6cd-4e4b-8393-b8a8c614eba3,Server,192.168.140.84,fd:c1:65:a7:4a:35,ICMP,14069,544,1357,234.63,15,60,12,1,596.4,1,0,0,Evening,1,0.777,Normal,Throttle
e4c2259c-cc33-47d3-ae1d-0046ba496468,Server,192.168.171.203,9c:73:fb:c0:99:05,UDP,34249,7057,92,171.08,9,36,24,1,22.75,1,1,1,Afternoon,0,0.386,Lateral Movement,Block
958478e6-c91d-40a1-98b6-dbf7452d9c19,IoT,192.168.27.140,05:1c:00:29:b4:8f,ICMP,42799,4716,344,198.79,7,41,15,1,51.46,1,1,0,Night,0,0.921,Lateral Movement,Throttle
00105580-f2f0-453c-964f-d762a4ae69cc,IoT,192.168.66.151,99:f2:3d:8c:cc:a5,ICMP,53024,743,290,170.52,10,21,17,0,100.42,0,1,0,Afternoon,0,0.554,Lateral Movement,Block
e263af2e-8347-4679-bb74-b45be22e5ba6,IoT,192.168.3.155,a7:6e:c3:1b:47:e2,UDP,51690,4522,765,81.97,7,36,14,1,24.85,1,1,1,Morning,1,0.854,Normal,Throttle
45bcf57f-bcef-4b3f-8c8f-227678e86e1b,Mobile,192.168.237.131,b0:e6:00:3a:7d:0a,UDP,48689,7273,628,126.63,14,24,24,0,322.69,0,0,0,Afternoon,1,0.292,Data Exfiltration,Block
7aa26f90-1fde-40c5-890e-b1d4aebc4c56,IoT,192.168.35.164,b9:d7:18:23:18:03,UDP,36031,7605,889,246.16,0,46,15,0,595.2,0,0,0,Night,0,0.95,Port Scan,Throttle
696d51ad-26fe-4d27-b1e6-3d7ae3a4020f,Mobile,192.168.189.139,6c:e4:a2:37:78:0e,UDP,13074,1316,259,249.33,12,39,13,1,196.61,0,1,1,Morning,0,0.575,Brute Force,Throttle
126f8d1a-99ca-4b51-9b93-0f587613ff4e,Mobile,192.168.78.132,7b:01:70:bc:76:7f,ICMP,34895,2549,1498,69.73,2,19,10,1,512.8,0,1,1,Night,1,0.685,Port Scan,Block
e9becaf7-8b28-4e4a-a9a3-b17f1c5e0b68,IoT,192.168.174.127,b2:98:be:a4:d6:0f,ICMP,27135,7205,453,158.96,8,12,2,0,646.22,1,1,1,Afternoon,0,0.88,Brute Force,Allow
5faa5cda-1a9e-4f41-9503-b551feda3808,Mobile,192.168.193.248,32:2e:7a:b8:62:8f,TCP,25298,6984,1205,269.43,14,52,14,1,252.91,1,1,0,Night,0,0.331,Malware,Throttle
8ad682ea-fed2-4280-894e-41804f5a8aa9,Server,192.168.184.158,35:2b:f6:e2:24:18,ICMP,9106,4148,313,178.25,9,15,22,0,24.84,0,1,0,Evening,1,0.916,DNS Tunneling,Allow
4fe2211d-db05-42e1-8606-8637101e0623,Laptop,192.168.193.199,84:ab:12:43:31:62,UDP,54849,4111,1453,190.37,5,52,10,1,295.99,1,0,0,Night,0,0.724,Port Scan,Allow
16243e76-9ca5-4661-8da9-c444888c632d,Server,192.168.71.154,41:2e:35:cd:4a:0c,UDP,5334,4233,1172,15.56,5,11,6,1,332.8,0,1,0,Night,0,0.435,Normal,Block
f5bdea7c-348d-4226-a11b-61c463bc3907,Mobile,192.168.112.149,f3:a1:f5:de:6c:3c,ICMP,29468,4868,796,171.09,1,30,4,1,395.1,0,1,1,Afternoon,0,0.136,Data Exfiltration,Allow
df3a345d-364a-4cdc-9ff7-69fe13cdcb45,Mobile,192.168.9.26,dc:47:7f:ff:ec:89,UDP,22437,1497,1097,114.73,15,18,1,0,204.63,0,0,1,Evening,0,0.29,Port Scan,Block
a5451816-8435-4dcb-a51c-bb0efc8b626c,Mobile,192.168.245.127,d5:d0:6e:44:eb:fc,TCP,45340,6293,97,273.17,8,24,6,0,286.32,1,0,1,Evening,1,0.663,Brute Force,Allow
a1251973-6dd2-456f-8591-91d1f894dc6d,Server,192.168.191.52,98:fd:82:84:c5:a4,TCP,1060,3878,666,141.53,12,41,17,0,38.5,1,1,1,Afternoon,1,0.5,Port Scan,Allow
16890017-c2c5-4ecc-bb10-ce26d18a2369,Mobile,192.168.64.18,eb:c8:5b:32:cb:ff,TCP,55886,3902,934,108.41,9,36,5,1,37.74,1,1,0,Morning,1,0.169,Lateral Movement,Allow
b8e86e83-7527-44ef-a54b-0889a44040a2,Mobile,192.168.218.104,45:3c:6d:fd:91:33,ICMP,28908,8004,592,232.09,0,47,6,0,100.47,0,1,1,Morning,0,0.678,Port Scan,Allow
f81d2a80-dca0-4e8b-9e55-113457d9c723,IoT,192.168.151.99,90:3a:1a:9b:c8:ea,ICMP,48665,8046,344,164.4,12,56,21,1,560.85,1,0,0,Night,0,0.162,Malware,Throttle
ab0494ce-5f2b-4d95-b814-9393f83763ce,IoT,192.168.12.78,9c:08:32:50:53:d4,TCP,60897,7188,625,74.87,4,55,24,1,309.52,1,1,1,Morning,0,0.155,Normal,Throttle
fd7d19f5-ed49-4339-998e-b02d9d5ad3d0,IoT,192.168.214.19,1e:63:1f:f3:a5:9f,TCP,44454,5485,79,156.29,12,11,1,1,538.93,1,1,1,Night,0,0.324,DNS Tunneling,Allow
f7fedd71-d867-4a7b-857b-c3b78b10a984,Laptop,192.168.69.251,8f:09:ee:17:a7:e7,TCP,44070,2045,1115,80.87,14,38,11,0,336.98,0,0,0,Evening,1,0.894,DNS Tunneling,Allow
588ac260-3c88-49de-8514-6967baa25184,Server,192.168.127.62,5c:2f:ff:8d:e2:92,UDP,57424,4897,403,26.28,9,5,12,1,495.38,1,0,1,Evening,1,0.76,Port Scan,Block
55ede7cb-1d14-4fef-9f23-8f740b56da76,Server,192.168.141.132,3d:72:1d:e0:4d:ea,UDP,20544,2455,75,192.64,9,29,25,1,595.29,1,1,1,Morning,0,0.222,Malware,Throttle
33ae299d-c338-41ea-8152-a34746a84b03,Mobile,192.168.110.15,76:e2:d4:dc:9e:65,TCP,57211,7714,1012,121.71,9,27,5,1,489.68,1,1,1,Night,1,0.841,Lateral Movement,Allow
83ceff34-4c86-4777-9615-8bc2a3f5948d,Server,192.168.146.226,51:83:89:61:d2:97,TCP,38966,1070,539,151.83,15,31,2,0,391.7,1,0,0,Night,0,0.403,Normal,Block
cbd7bc62-9abd-4ee5-b181-809746fb58bc,Laptop,192.168.56.79,aa:a5:87:80:25:c1,TCP,35976,7928,673,38.12,0,46,24,1,18.93,1,1,1,Night,0,0.208,Port Scan,Allow
b7fd6fdb-943e-42ff-96c7-a9464aa78665,Mobile,192.168.33.59,5c:af:f1:9f:d0:26,ICMP,26745,2336,769,49.07,9,50,7,1,187.71,1,1,0,Night,1,0.016,Brute Force,Throttle
6fc09a08-770c-4f3a-8a9f-e1d228d83557,IoT,192.168.231.137,f3:33:b9:07:34:ad,TCP,61271,3851,973,98.18,1,47,25,0,658.72,0,1,0,Night,0,0.385,DNS Tunneling,Block
8481a3bd-b5b2-4482-87dd-876760169137,Laptop,192.168.216.230,73:6b:10:27:14:a8,TCP,35436,991,722,152.01,7,12,23,1,134.29,1,1,0,Morning,0,0.208,Lateral Movement,Allow
fd95496b-d322-4c52-9798-bbb1512c2052,Mobile,192.168.80.94,24:44:19:5f:56:4c,ICMP,24070,3561,142,66.88,14,36,21,1,262.21,0,0,0,Night,0,0.285,Port Scan,Allow
9900f821-22e1-4ffb-a6c6-9dba674e48a2,Server,192.168.247.48,30:65:02:d0:e8:4b,UDP,64148,3144,668,170.17,2,53,7,1,471.78,0,1,0,Afternoon,0,0.878,Data Exfiltration,Throttle
207d0977-e4e4-439b-891e-c64ae35a4882,Laptop,192.168.80.82,01:e8:7a:7f:51:08,ICMP,39499,6714,739,31.38,3,8,4,1,582.39,0,0,0,Afternoon,0,0.011,Data Exfiltration,Block
9babfade-76b6-4362-be2e-34e10d413996,Mobile,192.168.178.81,66:e1:82:ef:7f:d1,ICMP,34024,7065,338,137.47,3,23,14,0,93.66,1,0,1,Night,0,0.282,Normal,Block
d87d7e65-045a-42f4-bdc0-6d74b99a9498,IoT,192.168.8.155,08:69:11:03:1c:87,TCP,22287,194,1072,169.49,4,35,19,0,22.53,1,1,0,Night,0,0.594,DNS Tunneling,Block
32d945e8-21ef-41f8-a214-77ba95dffd94,Server,192.168.158.142,ac:e2:49:48:e9:be,TCP,10541,2643,1358,149.7,14,44,11,0,117.68,0,0,1,Night,1,0.723,Brute Force,Block
8375069f-81dc-4f7e-8acb-f0b9b561d630,IoT,192.168.228.48,28:8e:9c:82:9a:dc,ICMP,55812,5561,811,161.19,5,35,22,0,39.71,1,0,0,Morning,1,0.157,Normal,Throttle
5f710762-622c-4594-83ed-b82b3a51a2ec,IoT,192.168.100.149,2d:06:5e:7f:0d:9d,UDP,47109,6751,758,237.36,3,40,17,0,611.06,0,0,1,Morning,1,0.1,Lateral Movement,Allow
9cad398e-8dc0-451a-963e-9fa01ce73e3c,Mobile,192.168.188.57,c2:9d:ed:d2:bf:4e,UDP,2982,305,771,29.09,7,2,13,0,612.15,0,0,0,Afternoon,0,0.801,Data Exfiltration,Allow
b68279f6-8bac-437f-b2c4-93f4951642eb,Laptop,192.168.17.59,4e:79:3a:7c:70:4b,UDP,16433,237,322,155.54,14,34,1,0,333.87,1,1,0,Morning,0,0.214,Data Exfiltration,Block
f8a31fb4-6f1c-4ba5-9bb2-d009ef5bda66,IoT,192.168.45.171,b2:83:b9:88:90:bb,UDP,59861,7031,1342,192.18,12,59,15,1,372.15,1,0,0,Afternoon,0,0.68,Brute Force,Block
8aed44f4-66ca-4201-9845-9089f43050fd,IoT,192.168.81.120,ad:24:c9:82:eb:13,TCP,11320,7816,1191,119.75,6,53,4,1,263.86,0,1,0,Night,0,0.943,Lateral Movement,Block
20d82a5a-e9fa-4705-a954-fb4603e48435,Mobile,192.168.61.26,bb:06:21:95:a2:df,ICMP,59354,4767,226,237.47,13,48,15,0,523.93,0,0,1,Evening,1,0.67,Data Exfiltration,Throttle
75b3bca2-34c3-4384-aede-7d0bc7b3cd44,Laptop,192.168.48.221,76:91:a9:af:03:ee,TCP,56334,7303,1265,283.02,7,27,13,1,554.26,0,0,0,Night,1,0.221,DNS Tunneling,Allow
eaec9e0e-d126-4ff6-ba10-5502b6733524,Server,192.168.206.62,ec:c4:e3:12:3e:69,TCP,44582,1917,903,14.97,7,26,6,0,413.74,1,0,0,Afternoon,0,0.504,DNS Tunneling,Block
5891eccb-68e6-47a0-8d85-2e29e1b7fd13,Laptop,192.168.106.90,53:69:5b:ad:ef:b0,UDP,32681,5083,141,17.0,0,47,6,1,259.01,1,1,1,Afternoon,1,0.335,Normal,Block
2656da62-0a23-4e6e-bfd8-2f6ddfe2b80b,IoT,192.168.91.201,02:b6:b9:41:eb:9c,UDP,43228,6978,818,132.23,1,22,3,1,412.76,1,1,0,Night,1,0.509,Brute Force,Throttle
f5c290fb-6ef3-4363-837c-0ccb0bd0e595,Server,192.168.111.27,34:82:14:df:c9:ff,TCP,35125,5584,608,166.65,0,30,17,1,644.77,0,1,1,Night,0,0.961,Normal,Throttle
6e6bdac5-a69b-4afb-ab54-8f965ec6bee0,IoT,192.168.167.171,00:c6:1b:d3:e0:3a,TCP,6818,5300,527,289.41,15,31,8,0,40.73,0,1,1,Night,0,0.253,Port Scan,Block
339e4d4b-cca3-4fa2-bf0f-148b06ff5715,IoT,192.168.251.204,0a:25:a6:56:9e:81,TCP,24116,7963,1213,102.09,15,11,12,0,555.84,0,0,1,Afternoon,1,0.826,DNS Tunneling,Allow
1a24ff84-58d0-48f7-ade7-ab25fe387b5a,Server,192.168.120.252,74:ae:2d:f5:09:f7,TCP,44372,2814,359,78.76,4,6,1,0,313.53,0,1,0,Morning,1,0.641,Normal,Block
05e50ca8-efdc-420f-b865-e21e137373fa,Laptop,192.168.118.252,49:73:2e:0f:d4:f7,ICMP,4836,323,434,149.94,1,41,13,0,362.14,1,0,1,Evening,0,0.187,Malware,Allow
97e76f7f-5af2-4533-aeac-739acc779de7,Server,192.168.18.29,8a:27:dc:63:40:24,UDP,43147,4912,587,106.31,1,38,15,1,148.41,1,1,0,Afternoon,1,0.624,Port Scan,Block
fce6be88-3970-4c6e-ad72-bbb9ae4ea6a0,Mobile,192.168.222.21,c3:28:5a:ef:ee:d4,TCP,41969,6225,513,260.63,12,59,11,1,33.32,1,1,1,Afternoon,1,0.507,Port Scan,Throttle
12de03cc-1447-4768-b88a-1c99cd48308b,Laptop,192.168.71.135,50:3b:12:3a:88:97,UDP,63173,5379,1345,40.65,1,57,2,0,565.38,0,0,0,Night,1,0.034,Brute Force,Throttle
24c294a4-5984-476f-b108-b862eb9d3d6b,IoT,192.168.122.143,e9:a4:61:31:ef:38,ICMP,34828,5013,1390,195.51,3,57,9,1,387.97,0,0,0,Morning,1,0.884,Lateral Movement,Block
d5c8e34d-d229-48f6-b8bb-ee91446c66ac,Mobile,192.168.218.104,8f:27:37:d5:08:d8,ICMP,17739,1996,1407,25.62,6,51,17,0,541.29,1,0,1,Afternoon,1,0.695,Malware,Allow
c1162ff5-6e34-451e-9ae6-87d3e141c572,IoT,192.168.250.81,6e:b5:b5:be:af:b6,UDP,44529,7778,479,82.21,9,33,2,1,430.98,1,0,0,Evening,1,0.259,Brute Force,Block
f131f886-efa6-4415-a759-9e18278a0017,IoT,192.168.108.84,9e:c4:f7:8c:9b:f2,UDP,29730,2429,211,85.55,0,9,21,1,480.02,0,1,0,Night,0,0.742,Normal,Throttle
f51764ac-44c4-438b-a27e-14d3cf6b1053,Laptop,192.168.187.159,21:4e:33:11:d0:dd,TCP,46712,4501,1436,248.83,3,49,2,1,319.5,1,0,1,Night,0,0.153,Normal,Block
7dc59563-d669-4eb0-83bc-6ae8337ee24e,Laptop,192.168.189.198,32:67:c1:e9:c4:54,TCP,31953,974,795,253.19,14,19,19,1,684.93,0,1,0,Afternoon,0,0.585,Brute Force,Throttle
9e167b75-bde4-4af8-bed6-3afbd7b56158,Laptop,192.168.198.235,55:59:c1:4d:28:c7,UDP,39620,4614,890,221.23,11,41,9,1,389.84,0,1,0,Morning,1,0.47,Port Scan,Block
134f023c-1e9e-4427-ae78-47c6fd27e5ab,Mobile,192.168.117.205,b3:18:e1:5e:d4:da,UDP,59189,4443,1375,157.3,11,35,11,1,95.88,0,1,1,Afternoon,0,0.532,Data Exfiltration,Allow
a8fecd6f-e5ee-428a-bb4d-b03549214661,Server,192.168.220.30,79:6a:ea:4f:d9:2a,UDP,4250,7422,258,299.82,2,7,15,0,457.86,1,0,1,Morning,1,0.434,Data Exfiltration,Block
7d2f767c-f4ec-4d46-a509-e83b72c77a87,Mobile,192.168.224.144,bc:33:f3:05:56:3d,TCP,62575,6084,1152,203.07,15,27,0,1,50.75,1,1,0,Night,1,0.948,Malware,Throttle
f8185e7b-6557-479f-90e4-fbc9c84edddd,IoT,192.168.149.85,b8:65:22:be:a1:d7,ICMP,53735,2392,543,266.08,12,1,13,1,238.14,1,0,1,Night,1,0.567,Data Exfiltration,Throttle
94052e4a-24b4-43be-b898-f4f5ee153afe,Laptop,192.168.200.162,fc:49:4d:95:5d:6b,ICMP,57848,965,1290,29.51,8,33,2,1,51.54,0,1,1,Night,1,0.843,Data Exfiltration,Block
f37e4143-1703-44a9-bd03-98b92f4798c8,IoT,192.168.36.251,5b:f5:0f:50:82:be,TCP,58836,2731,523,30.65,4,45,17,0,346.24,1,1,0,Afternoon,1,0.506,Data Exfiltration,Allow
dae6e72e-9df7-40be-ba20-2f0670a07350,Mobile,192.168.8.166,4e:bc:02:20:58:10,UDP,1506,228,993,193.24,1,14,18,1,29.28,1,0,0,Afternoon,1,0.927,Port Scan,Throttle
f005dff7-dafd-48d4-a108-782a860747ca,Server,192.168.85.157,36:36:45:ac:8b:92,UDP,33737,1113,185,193.45,6,39,25,1,95.71,0,0,0,Evening,1,0.822,Brute Force,Block
fa7a2a6f-7b4f-4e2a-96e3-f14905244188,Server,192.168.164.101,cb:32:8e:27:3d:13,TCP,18139,987,1265,69.48,11,43,16,1,78.06,1,0,1,Afternoon,0,0.073,DNS Tunneling,Block
88474114-efcf-400b-9649-6b902fb16a68,Mobile,192.168.76.116,5f:de:7c:a6:6e:12,ICMP,38773,1425,1380,185.35,4,38,20,1,442.5,0,0,0,Afternoon,0,0.786,Lateral Movement,Throttle
245ad567-793f-49b4-8d44-2192307a9a16,Mobile,192.168.244.203,40:be:67:f7:9f:b9,ICMP,9702,5722,1091,260.19,6,49,6,1,658.8,1,1,1,Night,0,0.451,Malware,Allow
6b0505dc-6542-49b9-a8e2-f5d8fef88c25,Server,192.168.57.244,38:15:4a:d8:bd:c8,ICMP,38587,4255,261,130.99,2,50,1,1,193.3,1,0,0,Morning,0,0.337,Normal,Block
